window,stream,stage,events,rate_s-1,survival_fraction_vs_raw
broad_480_550,prompt,raw,4,0.217342874686,1
broad_480_550,prompt,active_veto_pass,0,0,0
broad_480_550,prompt,side_compton_fov_pass,0,0,0
broad_480_550,delayed,raw,1,0.000759090171797,1
broad_480_550,delayed,active_veto_pass,1,0.000759090171797,1
broad_480_550,delayed,side_compton_fov_pass,1,0.000759090171797,1
broad_480_550,science,raw,30296,0.814539979567,1
broad_480_550,science,active_veto_pass,30296,0.814539979567,1
broad_480_550,science,side_compton_fov_pass,29650,0.797171586815,0.978677053077
w2_510p58_511p42,prompt,raw,2,0.108671437343,1
w2_510p58_511p42,prompt,active_veto_pass,0,0,0
w2_510p58_511p42,prompt,side_compton_fov_pass,0,0,0
w2_510p58_511p42,delayed,raw,0,0,
w2_510p58_511p42,delayed,active_veto_pass,0,0,
w2_510p58_511p42,delayed,side_compton_fov_pass,0,0,
w2_510p58_511p42,science,raw,30234,0.812873044039,1
w2_510p58_511p42,science,active_veto_pass,30234,0.812873044039,1
w2_510p58_511p42,science,side_compton_fov_pass,29597,0.7957466258,0.978931004829
